schoolId,schoolName,status,failureStage,officialWebsite,candidateSourcePages,currentUnitCount,lastAttemptAt,attempts,error,recommendedAction
school-1t0ho8f,重庆医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-753us6,西南大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-9en316,重庆师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1pl3kf2,四川外国语大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1l1jz06,西南政法大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1xeu7sy,四川美术学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-1muerr1,陆军军医大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-q17i2o,四川大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-2o38og,西南交通大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1mor4gk,电子科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-87khou,西南石油大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ydv5cq,成都理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ou4pbn,西南科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-198bet3,成都信息工程大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-113v1vd,西华大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ofmram,四川农业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1dd9tge,西南医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-asjpny,成都中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ua1dwl,四川师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-g450ws,西华师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-uoza9x,西南财经大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1jr8mcz,成都体育学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-11gr1hy,四川音乐学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-bft1jy,西南民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-oimyf3,成都大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1swdbc3,贵州大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-u1bxfj,贵州医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-19gq5y6,遵义医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-xupvsq,贵州中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1r5y7sa,贵州师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-11a3ylf,贵州民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-izbscs,云南大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-17360p9,昆明理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-lizkma,云南农业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-qbxcj7,西南林业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1h1zy7w,昆明医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-xbo68v,云南中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ff1r35,云南师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1xrqbaj,云南财经大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-yekis8,云南民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-inl76f,西藏农牧大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ohpgsu,西藏大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-11l0chy,西藏民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-oqjo46,西北大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1lm9q4m,西安交通大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-cp7kl5,西北工业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-9eva4d,西安理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-dnuqc,西安电子科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1pgp0d3,西安工业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1cxgde0,西安建筑科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1358mu5,西安科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-2nexx8,西安石油大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-f5i1cl,陕西科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-5k2v64,西安工程大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-rizduo,长安大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-16p6aa2,西北农林科技大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-lo8z83,陕西中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-69gcr1,陕西师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-15kh2m1,延安大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-pj9h8e,西安外国语大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-yqa5km,西北政法大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ul2iua,西安美术学院,pending,,,,0,,0,,继续自动抓取或人工复核
school-130jy45,西安邮电大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-c9nryx,空军军医大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1hsl9ni,兰州大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-f2nign,兰州理工大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1athm7c,兰州交通大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-rbosav,甘肃农业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1vd5ufk,甘肃中医药大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-i3co4n,西北师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-rtetz1,兰州财经大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1ql60v2,西北民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-4g7zj,青海大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1moulty,青海师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1fkbmyf,青海民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-15zjadw,宁夏大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1997228,宁夏医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1llynvw,北方民族大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-17huh6u,新疆大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-105468q,塔里木大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1fbpn14,新疆农业大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-ntp4dg,石河子大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1b99gni,新疆医科大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-9p26vr,新疆师范大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-16e9ca0,喀什大学,pending,,,,0,,0,,继续自动抓取或人工复核
school-1lh40vp,新疆财经大学,pending,,,,0,,0,,继续自动抓取或人工复核
